SUMMARY,CALENDAR,TASK
cafe da manha,Alimentação,Tomar café da manhã
lanche da manha,Alimentação,Lanchar de manhã
almoco,Alimentação,Almoçar
lanche da tarde,Alimentação,Lanchar à tarde
pre-treino,Alimentação,Tomar o pré-treino
jantar,Alimentação,Jantar
inf1410 - gerencia de projetos de informatica,PUC,Aula da disciplina INF1410 - Gerência de Projetos de Informática
inf1608 - analise numerica,PUC,Aula da disciplina INF1608 - Análise Numérica
adm1019 - introducao a finanças,PUC,Aula da disciplina ADM1019 - Introdução a Finanças
inf1629 - principios de engenharia de software,PUC,Aula da disciplina INF1629 - Princípios de Engenharia de Software
parabens!,Pessoal,Dar parabéns
psiquiatra,Saúde,Ir para consulta com o psiquiatra
!rm,Compromisso,Ir para rm
p3,Compromisso,Fazer a prova 3
psicologo,Saúde,Ir para consulta com o psicólogo
!zion,Compromisso,Ir para zion
autoescola,Compromisso,Ir para aula da autoescola
aula de violao,Compromisso,Ir para aula de violão
cortar cabelo,Compromisso, Cortar o cabelo
aula de musica,Compromisso,Ir para aula de música
centro,Compromisso,Ir ao centro
conversa puc,Compromisso,Comparecer a conversa na PUC
auto escola: prova pratica,Compromisso,Fazer a prova prática da auto escola
detran,Compromisso,Ir ao Detran
aula de canto,Compromisso,Fazer aula de canto
aula de guitarra,Compromisso,Fazer aula de guitarra
graduacao muay thai,Compromisso,Ir pra graduação de Muay Thai
!visita rede,Compromisso,Visitar a rede
!mago da musica link,Compromisso,mago da musica link
conversa pedro,Compromisso,Conversar com Pedro
t2 algebra,Exames,Fazer o teste 2 de álgebra
prova auto escola,Exames,Fazer a prova da auto escola
inf1301 - relatorio plano de acao,Exames,Preparar o relatório do plano de ação de inf1301
p1 inf1018,Exames,Fazer a prova 1 de INF1018
p1 progmod,Exames,Fazer a prova 1 de Programação Modular
entrega trabalho inf1018,Exames,Entregar trabalho de inf1018
t3 algebra,Exames,Fazer o teste 3 de álgebra
t4 algebra,Exames,Fazer o teste 4 de álgebra
p2 inf1018,Exames,Fazer a prova 2 de inf1018
p2 algebra,Exames,Fazer a prova 2 de Álgebra
trab inf1018,Exames,Fazer o trabalho de INF1018
p3 algebra,Exames,Fazer a prova 3 de álgebra
p2 progmod,Exames,Fazer a prova 2 de Programação Modular
avaliacao 1 algebra,Exames,Fazer a avaliação 1 de álgebra
p1 calculo,Exames,Fazer a prova 1 de Cálculo
t1 maple algebra,Exames,Fazer o teste 1 de álgebra com Maple
avaliacao 2 algebra,Exames,Fazer a avaliação 2 de álgebra
p1 algebra,Exames,Fazer a prova 1 de Álgebra
teste 1 probcomp,Exames,Fazer teste 1 probabilidade computacional
av. lab1 calculo,Exames,Fazer a avaliação do laboratório 1 de Cálculo
trabalho 2 iac,Exames,Fazer o trabalho 2 de introdução a arquitetura de computadores
trabalho 3 iac,Exames,Fazer o trabalho 3 de introdução a arquitetura de computadores
trab g1 probcomp,Exames,Fazer o trabalho G1 de ProbComp
teste 2 probcomp,Exames,Fazer o teste 2 de probabilidade computacional
avaliacao 3 algebra,Exames,Fazer avaliação 3 de álgebra
p1 iac,Exames,Fazer a prova 1 de introdução a arquitetura de computadores
avaliacao 4 algebra,Exames,Fazer a avaliação 4 de álgebra
tete 2 maple algebra,Exames,Fazer o teste 2 de Algebra com Maple
semana 6,Exames,Fazer a atividade da semana 6
semana 7,Exames,Fazer a atividade da semana 7
semana 8,Exames,Fazer a atividade da semana 8
atividade 2 calculo,Exames,Fazer a atividade 2 de cálculo
semana 10,Exames,Fazer a atividade da semana 10
semana 9,Exames,Fazer a atividade da semana 9
semana 11,Exames,Fazer a atividade da semana 11
p2 calculo,Exames,Fazer a prova 2 de cálculo
av. lab2 calculo,Exames,Fazer a avaliação do laboratório 2 de cálculo
av extra algebra,Exames,Fazer a avaliação extra de álgebra
av extra c algebra,Exames,Fazer a avaliação extra de álgebra
av extra d algebra,Exames,Fazer a avaliação extra de álgebra
avaliacao 5 algebra,Exames,Fazer a avaliação de álgebra 5
trabalho 4 iac,Exames,Fazer o trabalho 4 de introdução a arquitetura de computadores
av 6 algebra,Exames,Fazer a avaliação 6 de álgebra
p2 iac,Exames,Fazer a prova 2 de introdução a arquitetura de computadores
teste e medicao: atividade 1,Exames,Realizar atividade 1 de teste e medição de software
so: lab 2,Exames,Fazer o laboratório 2 de Sistemas Operacionais
atividade teste,Exames,Fazer uma atividade teste
poo: p1,Exames,Fazer a prova 1 de Programação Orientada a Objetos
teste e medcao: p1,Exames,Fazer a prova 1 de teste e medição de software
poo: trab i,Exames,Fazer o trabalho 1 de Programação Orientada a Objetos
bd: t2,Exames,Fazer o teste 2 de banco de dados
so: p1,Exames,Fazer a prova 1 de Sistemas Operacionais
bd: trab 1,Exames,Fazer trabalho 1 de banco de dados
poo: trab ii,Exames,Fazer o trabalho 2 de Programação Orientada a Objetos
so: trab 1,Exames,Fazer o trabalho 1 de Sistemas Operacionais
bd: t3,Exames,Fazer o teste 3 de banco de dados
so: lab 5,Exames,Fazer o laboratório 5 de Sistemas Operacionais
poo: trab iii,Exames,Fazer o trabalho 3 de Programação Orientada a Objetos
bd: t1 g2,Exames,Fazer o teste 1 de banco de dados
poo: trab iv,Exames,Fazer o trabalho 4 de Programação Orientada a Objetos
tms: atividade 3,Exames,Fazer a atividade 3 de teste e medição de software
so: lab 6,Exames,Fazer o laboratório 6 de Sistemas Operacionais
tms: p2,Exames,Fazer a prova 2 de teste e medição de software
bd: trab 2,Exames,Fazer o trabalho 2 de banco de dados
poo: apresentacao,Exames,Apresentar trabalho de Programação Orientada a Objetos
bd: t2 g2,Exames,Fazer o teste 2 de banco de dados
so: p2,Exames,Fazer a prova 2 de Sistemas Operacionais
ihc: trab ii,Exames,Fazer o trabalho 2 de interação humano-computador
so: trab 2,Exames,Fazer o trabalho 2 de Sistemas Operacionais
ihc: apresentacao,Exames,Apresentar trabalho de Interação Humano-Computador
de-para,PUC,Participar do de-para
de/para alternativo,Exames,participar do de-para alternativo
cd - apresentacao,Exames,Fazer a apresentação de ciência de dados
!pcs: apresentacao,Exames,Fazer a apresentação de pcs
redes: p1,Exames,Fazer a prova 1 de redes de computadores
!ed: p1,Exames,ed: p1
!pcs: apresentacao g2,Exames,Apresentar o trabalho de pcs do grupo 2
redes: trab 1,Exames,Fazer o trabalho 1 de Redes de computadores
!cd: apresentacao g2,Exames,Apresentar o G2
redes: p2,Exames,Fazer a prova 2 de redes de computadores
!ed: p2,Exames,Fazer a prova 2 de ED
!ed: lista 4,Exames,Fazer a lista 4 de estudo dirigido
p2 - eda,Exames, Fazer a prova 2 de Estrutura de dados avançadas
apresentacao t2 - eda,Exames,Apresentar do segundo trabalho
pf - eda,Exames,Fazer a prova final de estrutura de dados avançadas
!psr: mp1,Exames,Fazer o exame psr: mp1
aa: p1,Exames,fazer prova 1 de analise de algoritmos
als - p1,Exames,fazer a prova 1 de analisadores léxicos e sintáticos
probcomp - t1,Exames,Fazer a prova 1 de Probabilidade Computacional
aa: p2,Exames,fazer a prova 2 de analise de algoritmos
trabalho 2 aa,Exames,Fazer o trabalho 2 aa
probcomp - t2,Exames,Fazer a prova 2 de Probabilidade Computacional
als - p2,Exames,fazer a prova 2 de analisadores léxicos e sintáticos
aa: p3,Exames,fazer a prova 3 de analise de algoritmos
apresentacao estagio,Exames,Apresentar no estágio
trabalho 3 aa,Exames,Fazer o trabalho 3 de analise de algoritmos
