SUMMARY,CALENDAR,VERBALIZED
cafe da manha,Alimentação,"```json
{
  ""task"": ""Tomar café da manhã"",
  ""type"": ""generated""
}
```"
lanche da manha,Alimentação,"```json
{
  ""task"": ""Lanchar de manhã"",
  ""type"": ""generated""
}
```"
almoco,Alimentação,"```json
{
  ""task"": ""Almoçar"",
  ""type"": ""generated""
}
```"
lanche da tarde,Alimentação,"```json
{
  ""task"": ""Lanchar à tarde"",
  ""type"": ""generated""
}
```"
pre-treino,Alimentação,"```json
{
  ""task"": ""Tomar o pré-treino"",
  ""type"": ""generated""
}
```"
jantar,Alimentação,"```json
{
  ""task"": ""Jantar"",
  ""type"": ""generated""
}
```"
inf1410 - gerencia de projetos de informatica,PUC,"```json
{
  ""task"": ""Estudar a disciplina INF1410 - Gerência de Projetos de Informática"",
  ""type"": ""generated""
}
```"
inf1608 - analise numerica,PUC,"```json
{
  ""task"": ""Estudar inf1608 - Análise Numérica"",
  ""type"": ""generated""
}
```"
adm1019 - introducao a finanças,PUC,"```json
{
  ""task"": ""Estudar adm1019 - introdução a finanças"",
  ""type"": ""generated""
}
```"
inf1629 - principios de engenharia de software,PUC,"```json
{
  ""task"": ""Estudar INF1629 - Princípios de Engenharia de Software"",
  ""type"": ""generated""
}
```"
parabens!,Pessoal,"```json
{
  ""task"": ""Dar parabéns"",
  ""type"": ""generated""
}
```"
psiquiatra,Saúde,"```json
{
  ""task"": ""Consultar o psiquiatra"",
  ""type"": ""generated""
}
```"
rm,Compromisso,"```json
{
  ""task"": ""rm"",
  ""type"": ""original""
}
```"
p3,Compromisso,"```json
{
  ""task"": ""p3"",
  ""type"": ""original""
}
```"
psicologo,Saúde,"```json
{
  ""task"": ""Consultar o psicólogo"",
  ""type"": ""generated""
}
```"
zion,Compromisso,"```json
{
  ""task"": ""zion"",
  ""type"": ""original""
}
```"
autoescola,Compromisso,"```json
{
  ""task"": ""Fazer autoescola"",
  ""type"": ""generated""
}
```"
aula de violao,Compromisso,"```json
{
  ""task"": ""Fazer aula de violão"",
  ""type"": ""generated""
}
```"
cortar cabelo,Compromisso,"```json
{
  ""task"": ""Fazer o corte de cabelo"",
  ""type"": ""generated""
}
```"
aula de musica,Compromisso,"```json
{
  ""task"": ""Fazer aula de música"",
  ""type"": ""generated""
}
```"
centro,Compromisso,"```json
{
  ""task"": ""Ir ao centro"",
  ""type"": ""generated""
}
```"
conversa puc,Compromisso,"```json
{
  ""task"": ""Conversar na PUC"",
  ""type"": ""generated""
}
```"
auto escola: prova pratica,Compromisso,"```json
{
  ""task"": ""Fazer a prova prática da auto escola"",
  ""type"": ""generated""
}
```"
detran,Compromisso,"```json
{
  ""task"": ""Ir ao Detran"",
  ""type"": ""generated""
}
```"
aula de canto,Compromisso,"```json
{
  ""task"": ""Fazer aula de canto"",
  ""type"": ""generated""
}
```"
aula de guitarra,Compromisso,"```json
{
  ""task"": ""Fazer aula de guitarra"",
  ""type"": ""generated""
}
```"
graduacao muay thai,Compromisso,"```json
{
  ""task"": ""Fazer a graduação de Muay Thai"",
  ""type"": ""generated""
}
```"
visita rede,Compromisso,"```json
{
  ""task"": ""Visitar a rede"",
  ""type"": ""generated""
}
```"
mago da musica link,Compromisso,"```json
{
  ""task"": ""mago da musica link"",
  ""type"": ""original""
}
```"
conversa pedro,Compromisso,"```json
{
  ""task"": ""Conversar com Pedro"",
  ""type"": ""generated""
}
```"
t2 algebra,Exames,"```json
{
  ""task"": ""Fazer a prova de álgebra 2"",
  ""type"": ""generated""
}
```"
prova auto escola,Exames,"```json
{
  ""task"": ""Fazer a prova da auto escola"",
  ""type"": ""generated""
}
```"
inf1301 - relatorio plano de acao,Exames,"```json
{
  ""task"": ""Preparar o relatório do plano de ação de inf1301"",
  ""type"": ""generated""
}
```"
p1 inf1018,Exames,"```json
{
  ""task"": ""Fazer a prova 1 de INF1018"",
  ""type"": ""generated""
}
```"
p1 progmod,Exames,"```json
{
  ""task"": ""Fazer a P1 de Programação Modular"",
  ""type"": ""generated""
}
```"
entrega trabalho inf1018,Exames,"```json
{
  ""task"": ""Entregar trabalho inf1018"",
  ""type"": ""generated""
}
```"
t3 algebra,Exames,"```json
{
  ""task"": ""Fazer a prova de álgebra 3"",
  ""type"": ""generated""
}
```"
t4 algebra,Exames,"```json
{
  ""task"": ""Fazer a prova de álgebra 4"",
  ""type"": ""generated""
}
```"
p2 inf1018,Exames,"```json
{
  ""task"": ""Fazer a p2 de inf1018"",
  ""type"": ""generated""
}
```"
p2 algebra,Exames,"```json
{
  ""task"": ""Fazer a P2 de Álgebra"",
  ""type"": ""generated""
}
```"
trab inf1018,Exames,"```json
{
  ""task"": ""Fazer o trabalho de INF1018"",
  ""type"": ""generated""
}
```"
p3 algebra,Exames,"```json
{
  ""task"": ""Fazer a prova 3 de álgebra"",
  ""type"": ""generated""
}
```"
p2 progmod,Exames,"```json
{
  ""task"": ""Fazer a P2 de Programação Modular"",
  ""type"": ""generated""
}
```"
avaliacao 1 algebra,Exames,"```json
{
  ""task"": ""Fazer a avaliação 1 de álgebra"",
  ""type"": ""generated""
}
```"
p1 calculo,Exames,"```json
{
  ""task"": ""Fazer a P1 de Cálculo"",
  ""type"": ""generated""
}
```"
t1 maple algebra,Exames,"```json
{
  ""task"": ""Fazer o teste 1 de álgebra com Maple"",
  ""type"": ""generated""
}
```"
avaliacao 2 algebra,Exames,"```json
{
  ""task"": ""Fazer a avaliação 2 de álgebra"",
  ""type"": ""generated""
}
```"
p1 algebra,Exames,"```json
{
  ""task"": ""Fazer a P1 de Álgebra"",
  ""type"": ""generated""
}
```"
teste 1 probcomp,Exames,"```json
{
  ""task"": ""Fazer teste 1 probcomp"",
  ""type"": ""generated""
}
```"
av. lab1 calculo,Exames,"```json
{
  ""task"": ""Fazer a avaliação do laboratório 1 de Cálculo"",
  ""type"": ""generated""
}
```"
trabalho 2 iac,Exames,"```json
{
  ""task"": ""Fazer o trabalho 2 iac"",
  ""type"": ""generated""
}
```"
trabalho 3 iac,Exames,"```json
{
  ""task"": ""Fazer o trabalho 3 de IAC"",
  ""type"": ""generated""
}
```"
trab g1 probcomp,Exames,"```json
{
  ""task"": ""Fazer o trabalho G1 de ProbComp"",
  ""type"": ""generated""
}
```"
teste 2 probcomp,Exames,"```json
{
  ""task"": ""Fazer o teste 2 de probcomp"",
  ""type"": ""generated""
}
```"
avaliacao 3 algebra,Exames,"```json
{
  ""task"": ""Fazer avaliação 3 de álgebra"",
  ""type"": ""generated""
}
```"
p1 iac,Exames,"```json
{
  ""task"": ""Fazer a P1 de IAC"",
  ""type"": ""generated""
}
```"
avaliacao 4 algebra,Exames,"```json
{
  ""task"": ""Fazer a avaliação 4 de álgebra"",
  ""type"": ""generated""
}
```"
tete 2 maple algebra,Exames,"```json
{
  ""task"": ""Fazer o teste de Maple Algebra 2"",
  ""type"": ""generated""
}
```"
semana 6,Exames,"```json
{
  ""task"": ""Estudar para os exames da semana 6"",
  ""type"": ""generated""
}
```"
semana 7,Exames,"```json
{
  ""task"": ""Fazer exames da semana 7"",
  ""type"": ""generated""
}
```"
