task_index,original_time_slot,predicted_time_slot,recall_at_1,recall_at_5,tokens_spent
0,95,48,False,False,493
1,118,72,False,False,497
2,104,0,False,False,496
3,67,0,False,False,493
4,111,67,False,False,546
5,83,0,False,False,493
6,112,0,False,False,493
7,19,0,False,False,494
8,17,0,False,False,493
9,82,18,False,False,543
10,79,17,False,False,542
11,32,17,False,False,646
12,8,79,False,False,649
13,17,8,False,False,705
14,9,8,False,True,699
15,31,0,False,False,807
16,90,9,False,False,913
17,66,0,False,False,493
18,116,66,False,False,546
19,140,116,False,False,600
20,13,65,False,False,653
21,63,40,False,False,705
22,40,63,False,True,759
23,140,0,False,False,495
24,157,132,False,False,546
25,96,112,False,True,600
26,43,139,False,False,600
27,134,157,False,False,707
28,135,0,False,False,493
29,81,135,False,False,545
30,83,135,False,False,544
31,11,81,False,False,650
32,81,0,False,False,496
33,9,85,False,False,545
34,57,9,False,False,595
35,96,85,False,False,549
36,33,0,False,False,496
37,141,18,False,False,495
38,130,0,False,False,493
39,12,130,False,False,599
40,140,141,False,False,652
41,61,0,False,False,490
42,132,64,False,False,542
43,42,64,False,False,542
44,132,132,True,True,648
45,41,0,False,False,495
46,113,41,False,False,548
47,9,144,False,False,603
48,134,120,False,False,602
49,41,9,False,False,714
50,140,145,False,False,767
51,139,148,False,False,822
52,57,32,False,False,878
53,130,76,False,False,820
54,140,0,False,False,493
55,129,127,False,False,545
56,96,84,False,False,985
57,48,120,False,True,599
58,85,129,False,False,654
59,105,92,False,False,709
60,129,124,False,False,764
61,153,152,False,False,818
62,113,0,False,False,493
63,137,48,False,False,872
64,96,105,False,False,546
65,12,0,False,False,493
66,82,0,False,False,497
67,58,0,False,False,493
68,81,58,False,False,544
69,133,0,False,False,493
70,127,141,False,False,544
71,129,0,False,False,493
72,116,133,False,False,543
73,106,133,False,False,544
74,24,0,False,False,648
75,156,0,False,False,493
76,130,156,False,False,545
77,139,156,False,False,598
78,106,156,False,False,543
79,157,0,False,False,702
80,107,106,False,True,703
81,132,157,False,False,810
82,133,147,False,False,864
83,3,48,False,False,494
84,41,8,False,False,547
85,134,3,False,False,600
86,18,0,False,False,496
87,24,18,False,False,548
88,56,0,False,False,655
89,79,42,False,False,709
90,132,0,False,False,494
91,116,0,False,False,496
92,136,108,False,False,550
93,158,72,False,False,494
94,32,48,False,False,605
95,92,152,False,False,546
96,96,0,False,False,493
97,93,18,False,False,493
98,106,0,False,False,493
99,107,106,False,False,547
100,15,0,False,False,498
101,83,22,False,False,549
102,59,0,False,False,493
103,161,36,False,False,495
104,67,59,False,False,600
105,139,161,False,False,654
106,116,0,False,False,493
107,91,116,False,False,546
108,163,0,False,False,493
109,136,160,False,False,546
110,35,8,False,False,496
111,140,8,False,False,494
112,83,0,False,False,493
113,107,84,False,False,549
114,105,83,False,False,659
115,130,84,False,False,713
116,59,83,False,False,766
117,104,0,False,False,494
118,34,0,False,False,497
119,14,0,False,False,492
120,11,15,False,True,551
121,138,0,False,False,494
122,35,137,False,False,548
123,132,35,False,False,606
124,69,0,False,False,498
125,105,69,False,False,550
126,82,8,False,False,493
127,129,0,False,False,493
128,105,8,False,False,493
129,141,129,False,False,602
130,38,105,False,False,655
131,85,0,False,False,494
132,31,0,False,False,491
133,56,30,False,False,541
134,19,31,False,False,594
135,115,31,False,False,593
136,107,31,False,False,595
137,89,0,False,False,494
138,59,90,False,False,546
139,38,59,False,False,599
140,41,0,False,False,492
141,91,0,False,False,492
142,113,91,False,False,546
