task_index,original_time_slot,predicted_time_slot,recall_at_1,recall_at_5,tokens_spent
0,95,48,False,False,493
1,118,0,False,False,497
2,104,0,False,False,496
3,67,0,False,False,493
4,111,67,False,False,546
5,83,0,False,False,493
6,112,24,False,False,493
7,19,0,False,False,494
8,17,0,False,False,493
9,82,17,False,False,543
10,79,82,False,False,593
11,32,0,False,False,493
12,8,32,False,False,548
13,17,8,False,False,604
14,9,8,False,True,654
15,31,9,False,False,706
16,90,9,False,False,759
17,66,0,False,False,493
18,116,66,False,False,546
19,140,116,False,False,600
20,13,0,False,False,493
21,63,13,False,False,544
22,40,0,False,False,494
23,140,0,False,False,495
24,157,132,False,False,546
25,96,0,False,False,494
26,43,96,False,False,547
27,134,43,False,False,600
28,135,0,False,False,493
29,81,0,False,False,493
30,83,0,False,False,492
31,11,0,False,False,493
32,81,0,False,False,496
33,9,18,False,False,490
34,57,17,False,False,539
35,96,8,False,False,494
36,33,0,False,False,496
37,141,18,False,False,495
38,130,141,False,False,547
39,12,0,False,False,492
40,140,0,False,False,493
41,61,0,False,False,490
42,132,0,False,False,493
43,42,132,False,False,545
44,132,0,False,False,493
45,41,0,False,False,495
46,113,41,False,False,548
47,9,8,False,True,495
48,134,120,False,False,602
49,41,10,False,False,551
50,140,12,False,False,604
51,139,18,False,False,495
52,57,0,False,False,496
53,130,133,False,False,547
54,140,58,False,False,548
55,129,0,False,False,493
56,96,57,False,False,602
57,48,8,False,False,494
58,85,0,False,False,495
59,105,85,False,False,549
60,129,124,False,False,604
61,153,152,False,False,658
62,113,0,False,False,493
63,137,0,False,False,494
64,96,0,False,False,494
65,12,0,False,False,493
66,82,0,False,False,497
67,58,0,False,False,493
68,81,0,False,False,492
69,133,0,False,False,493
70,127,0,False,False,492
71,129,0,False,False,493
72,116,12,False,False,491
73,106,0,False,False,492
74,24,8,False,True,493
75,156,0,False,False,493
76,130,0,False,False,493
77,139,135,False,False,545
78,106,133,False,False,596
79,157,0,False,False,493
80,107,157,False,False,546
81,132,0,False,False,494
82,133,132,False,False,547
83,3,48,False,False,494
84,41,8,False,False,547
85,134,0,False,False,493
86,18,0,False,False,496
87,24,0,False,True,493
88,56,0,False,False,495
89,79,56,False,False,548
90,132,79,False,False,602
91,116,8,False,False,496
92,136,24,False,False,495
93,158,144,False,False,494
94,32,152,False,False,548
95,92,0,False,False,493
96,96,0,False,False,493
97,93,0,False,False,493
98,106,0,False,False,493
99,107,0,False,False,495
100,15,0,False,False,498
101,83,22,False,False,549
102,59,0,False,False,493
103,161,18,False,False,495
104,67,59,False,False,545
105,139,0,False,False,494
106,116,0,False,False,493
107,91,9,False,False,494
108,163,0,False,False,493
109,136,18,False,False,494
110,35,0,False,False,496
111,140,0,False,False,494
112,83,138,False,False,546
113,107,83,False,False,603
114,105,0,False,False,496
115,130,0,False,False,494
116,59,0,False,False,493
117,104,0,False,False,494
118,34,104,False,False,550
119,14,0,False,False,492
120,11,0,False,False,500
121,138,0,False,False,494
122,35,0,False,False,495
123,132,35,False,False,552
124,69,0,False,False,498
125,105,0,False,False,493
126,82,0,False,False,493
127,129,0,False,False,493
128,105,121,False,False,545
129,141,0,False,False,497
130,38,0,False,False,493
131,85,0,False,False,494
132,31,0,False,False,491
133,56,30,False,False,541
134,19,0,False,False,493
135,115,31,False,False,593
136,107,31,False,False,647
137,89,0,False,False,494
138,59,0,False,False,493
139,38,0,False,False,493
140,41,0,False,False,492
141,91,0,False,False,492
142,113,0,False,False,495
