SUMMARY,CALENDAR
cafe da manha,Alimentação
lanche da manha,Alimentação
almoco,Alimentação
lanche da tarde,Alimentação
pre-treino,Alimentação
jantar,Alimentação
inf1410 - gerencia de projetos de informatica,PUC
inf1608 - analise numerica,PUC
adm1019 - introducao a finanças,PUC
inf1629 - principios de engenharia de software,PUC
parabens!,Pessoal
psiquiatra,Saúde
rm,Compromisso
p3,Compromisso
psicologo,Saúde
zion,Compromisso
autoescola,Compromisso
aula de violao,Compromisso
cortar cabelo,Compromisso
aula de musica,Compromisso
centro,Compromisso
conversa puc,Compromisso
auto escola: prova pratica,Compromisso
detran,Compromisso
aula de canto,Compromisso
aula de guitarra,Compromisso
graduacao muay thai,Compromisso
visita rede,Compromisso
mago da musica link,Compromisso
conversa pedro,Compromisso
t2 algebra,Exames
prova auto escola,Exames
inf1301 - relatorio plano de acao,Exames
p1 inf1018,Exames
p1 progmod,Exames
entrega trabalho inf1018,Exames
t3 algebra,Exames
t4 algebra,Exames
p2 inf1018,Exames
p2 algebra,Exames
trab inf1018,Exames
p3 algebra,Exames
p2 progmod,Exames
avaliacao 1 algebra,Exames
p1 calculo,Exames
t1 maple algebra,Exames
avaliacao 2 algebra,Exames
p1 algebra,Exames
teste 1 probcomp,Exames
av. lab1 calculo,Exames
trabalho 2 iac,Exames
trabalho 3 iac,Exames
trab g1 probcomp,Exames
teste 2 probcomp,Exames
avaliacao 3 algebra,Exames
p1 iac,Exames
avaliacao 4 algebra,Exames
tete 2 maple algebra,Exames
semana 6,Exames
semana 7,Exames
semana 8,Exames
atividade 2 calculo,Exames
semana 10,Exames
semana 9,Exames
semana 11,Exames
p2 calculo,Exames
av. lab2 calculo,Exames
av extra algebra,Exames
av extra c algebra,Exames
av extra d algebra,Exames
avaliacao 5 algebra,Exames
trabalho 4 iac,Exames
av 6 algebra,Exames
p2 iac,Exames
teste e medicao: atividade 1,Exames
so: lab 2,Exames
atividade teste,Exames
poo: p1,Exames
teste e medcao: p1,Exames
poo: trab i,Exames
bd: t2,Exames
so: p1,Exames
bd: trab 1,Exames
poo: trab ii,Exames
so: trab 1,Exames
bd: t3,Exames
so: lab 5,Exames
poo: trab iii,Exames
bd: t1 g2,Exames
poo: trab iv,Exames
tms: atividade 3,Exames
so: lab 6,Exames
tms: p2,Exames
bd: trab 2,Exames
poo: apresentacao,Exames
bd: t2 g2,Exames
so: p2,Exames
ihc: trab ii,Exames
so: trab 2,Exames
ihc: apresentacao,Exames
de-para,PUC
de/para alternativo,Exames
cd - apresentacao,Exames
pcs: apresentacao,Exames
redes: p1,Exames
ed: p1,Exames
pcs: apresentacao g2,Exames
redes: trab 1,Exames
cd: apresentacao g2,Exames
redes: p2,Exames
ed: p2,Exames
ed: lista 4,Exames
p2 - eda,Exames
apresentacao t2 - eda,Exames
pf - eda,Exames
psr: mp1,Exames
