SUMMARY,DTSTART,DTEND,CALENDAR,DURATION,CREATED,TITLE
cafe da manha,2025-01-07 08:00:00,2025-01-07 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-07 10:00:00,2025-01-07 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-07 12:30:00,2025-01-07 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-07 16:00:00,2025-01-07 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-07 18:00:00,2025-01-07 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-07 20:00:00,2025-01-07 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-08 08:00:00,2025-01-08 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-08 10:00:00,2025-01-08 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-08 12:30:00,2025-01-08 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-08 16:00:00,2025-01-08 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-08 18:00:00,2025-01-08 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-08 20:00:00,2025-01-08 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-09 08:00:00,2025-01-09 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-09 10:00:00,2025-01-09 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-09 12:30:00,2025-01-09 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-09 16:00:00,2025-01-09 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-09 18:00:00,2025-01-09 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-09 20:00:00,2025-01-09 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-10 08:00:00,2025-01-10 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-10 10:00:00,2025-01-10 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-10 12:30:00,2025-01-10 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-10 16:00:00,2025-01-10 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-10 18:00:00,2025-01-10 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-10 20:00:00,2025-01-10 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-11 08:00:00,2025-01-11 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-11 10:00:00,2025-01-11 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-11 12:30:00,2025-01-11 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-11 16:00:00,2025-01-11 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-11 18:00:00,2025-01-11 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-11 20:00:00,2025-01-11 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-12 08:00:00,2025-01-12 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-12 10:00:00,2025-01-12 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-12 12:30:00,2025-01-12 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-12 16:00:00,2025-01-12 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-12 18:00:00,2025-01-12 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-12 20:00:00,2025-01-12 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-13 08:00:00,2025-01-13 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-13 10:00:00,2025-01-13 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-13 12:30:00,2025-01-13 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-13 16:00:00,2025-01-13 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-13 18:00:00,2025-01-13 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-13 20:00:00,2025-01-13 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-14 08:00:00,2025-01-14 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-14 10:00:00,2025-01-14 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-14 12:30:00,2025-01-14 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-14 16:00:00,2025-01-14 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-14 18:00:00,2025-01-14 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-14 20:00:00,2025-01-14 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-15 08:00:00,2025-01-15 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-15 10:00:00,2025-01-15 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-15 12:30:00,2025-01-15 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-15 16:00:00,2025-01-15 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-15 18:00:00,2025-01-15 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-15 20:00:00,2025-01-15 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-16 08:00:00,2025-01-16 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-16 10:00:00,2025-01-16 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-16 12:30:00,2025-01-16 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-16 16:00:00,2025-01-16 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-16 18:00:00,2025-01-16 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-16 20:00:00,2025-01-16 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-17 08:00:00,2025-01-17 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-17 09:30:00,2025-01-17 09:35:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
lanche da manha,2025-01-17 10:00:00,2025-01-17 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-17 12:30:00,2025-01-17 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-17 16:00:00,2025-01-17 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-17 18:00:00,2025-01-17 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-17 20:00:00,2025-01-17 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-18 08:00:00,2025-01-18 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-18 10:00:00,2025-01-18 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-18 12:30:00,2025-01-18 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-18 16:00:00,2025-01-18 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-18 18:00:00,2025-01-18 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-18 20:00:00,2025-01-18 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-19 08:00:00,2025-01-19 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-19 10:00:00,2025-01-19 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-19 12:30:00,2025-01-19 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-19 16:00:00,2025-01-19 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-19 18:00:00,2025-01-19 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-19 20:00:00,2025-01-19 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-20 08:00:00,2025-01-20 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-20 10:00:00,2025-01-20 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-20 12:30:00,2025-01-20 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-20 16:00:00,2025-01-20 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-20 18:00:00,2025-01-20 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-20 20:00:00,2025-01-20 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-21 08:00:00,2025-01-21 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-21 10:00:00,2025-01-21 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-21 12:30:00,2025-01-21 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-21 16:00:00,2025-01-21 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-21 18:00:00,2025-01-21 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-21 20:00:00,2025-01-21 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-22 08:00:00,2025-01-22 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
