TITLE,CALENDAR
AA: P1,Exames
AA: P2,Exames
AA: P3,Exames
ADM1019 - Intr. Finanças,PUC
ADM1019 - Intr. Finanças,PUC 👻
AI Salon Rio de Janeiro,Pessoal
AI Salon Rio de Janeiro #4,Pessoal
ALS - P1,Exames
ALS - P2,Exames
Academia,Exercícios
Academia,Pessoal
Academia Ideal,Exercícios
Academy,Trabalho
Acordar,Pessoal
Ajuste de Matrícula,PUC
Ajuste de Matrícula II,PUC
Ajuste de matrícula,PUC
Aldeia,Pessoal
Aldeia,Social
Aldeia Sábado,Pessoal
Aldeia Sábado [FERIADO],Pessoal
Alessandra,Compromisso
Alessandra,Saúde
Almoço,Pessoal
Almoço Vó,Social
Amazônia,Pessoal
Animate Ideas with Keynote,Trabalho
Aniversário da minha irmã,Pessoal
Aniversário da minha mãe,Pessoal
Aniversário de Namoro,Pessoal
Aniversário do meu pai,Pessoal
Apple,Trabalho
Apple Developer Academy,Trabalho
Apresentação ESTÁGIO,Exames
Apresentação T2 - EDA,Exames
Arrumar,Pessoal
Atividade 2 Cálculo,Exames
Atividade Teste,Exames
Aula,Pessoal
Aula,PUC
Aula da Liane,Pessoal
Aula de Música,Compromisso
Aula de Violão,Compromisso
Auto Escola: Prova Prática,Compromisso
Autoescola,Compromisso
Av 6 Álgebra,Exames
Av Extra C Álgebra,Exames
Av Extra D Álgebra,Exames
Av Extra Álgebra,Exames
Av. Lab1 Cálculo,Exames
Av. Lab2 Cálculo,Exames
Avaliaçao 5 Álgebra,Exames
Avaliação 1 Álgebra,Exames
Avaliação 2 Álgebra,Exames
Avaliação 3 Álgebra,Exames
Avaliação 4 Álgebra,Exames
Avaliação imobiliária,Pessoal
BD: T1 G2,Exames
BD: T2,Exames
BD: T2 G2,PUC
BD: T2 G2,Exames
BD: T3,Exames
BD: Trab 1,Exames
BD: Trab 2,Exames
BIRUSAMBA DE VERÃO,Exames
BIRUSAMBA DE VERÃO,Pessoal
BLACK FRIDAY,Pessoal
Baile da Gaiola,Pessoal
Ballet Marina,Social
Barra Shopping,Pessoal
Basquete PUC,Exercícios
Bioimpedância,Saúde
CD - Apresentação,Exames
CD: Apresentação G2,Exames
CRE1141 - Ética Cristã,PUC
Call Checkpoint AcessoRio,Pessoal
Casa do Felipe,Pessoal
Casamento,Social
Centro,Compromisso
Churras Caio,Social
Churras Marcos,Social
Churras Zé,Social
Churrasclérigos,Social
Churrasco Academy,Trabalho
Cirurgião,Saúde
Conversa Bruno,Trabalho
Conversa PUC,Compromisso
Conversa Pedro,Compromisso
Conversa TCC Felipe Gameleira,PUC
Cortar cabelo,Compromisso
Corte Masculino,Pessoal
DE PARA,PUC
DEVOLUÇÃO ZARA,Pessoal
De-Para,Exames
De-Para,PUC
De/Para Alternativo,Exames
De/Para Regimental,PUC
Deep Work,Rotina
Dentista,Saúde
Dermatologista,Saúde
Detran,Compromisso
Devs no Pilotis,PUC
Diablo IV,Games
Dr Bruno,Saúde
Dra. Vânia,Saúde
ECOA,Trabalho
ED: Lista 4,Exames
ED: P1,Exames
ED: P2,Exames
Endoscopia,Saúde
Entrega Trabalho INF1018,Exames
Entrevista Estágio Desenvolvedor: Felipe,Pessoal
